Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
11/25/2013,Accion,055XX,S,State,Street,Chicago,IL,60621,3,Beauty/Salon Services,41.79291528,-87.625802131,"(41.792915, -87.625802)"
06/10/2013,WBDC,014XX,N,Ashland,Avenue,Chicago,IL,60622,1,Professional/Off Svc,41.908377716,-87.667773189,"(41.908378, -87.667773)"
09/18/2013,WBDC,019XX,W,87th,Street,Chicago,IL,60620,18,Professional/Off Svc,41.735766874,-87.672396457,"(41.735767, -87.672396)"
01/13/2016,WBDC,074XX,S,Merrill,Street,Chicago,IL,60649,5,Construction/Repair,41.759232588,-87.572592157,"(41.759233, -87.572592)"
05/30/2013,CNI,005XX,E,61st,Street,Chicago,IL,60637,20,Other Services,41.784071842,-87.611277409,"(41.784072, -87.611277)"
12/11/2013,CNI,015XX,S,Western,Avenue,Chicago,IL,60608,28,IT/Manufacturing,41.859679009,-87.685989222,"(41.859679, -87.685989)"
11/15/2013,Accion,036XX,N,Halsted,Street,Chicago,IL,60613,46,Beauty/Salon Services,41.948799126,-87.649678275,"(41.948799, -87.649678)"
12/16/2013,Accion,007XX,N,Franklin,Street,Chicago,IL,60654,42,Retail Stores,41.896317588,-87.635840254,"(41.896318, -87.63584)"
12/17/2012,Accion,048XX,N,Broadway,Street,Chicago,IL,60640,46,Food/Beverage,41.970449245,-87.65985608,"(41.970449, -87.659856)"
11/18/2014,Accion,095XX,S,Constance,Street,Chicago,IL,60617,7,Day Care,41.720988133,-87.579112453,"(41.720988, -87.579112)"
05/07/2015,WBDC,014XX,N,Ashland,Avenue,Chicago,IL,60622,1,Professional/Off Svc,41.908377716,-87.667773189,"(41.908378, -87.667773)"
03/03/2014,CNI,000XX,N,Wacker,Drive,Chicago,IL,60606,42,Professional/Off Svc,41.883134296,-87.637191526,"(41.883134, -87.637192)"
09/30/2014,Accion,040XX,S,Indiana,Street,Chicago,IL,60653,3,Day Care,41.820488979,-87.621662243,"(41.820489, -87.621662)"
05/30/2013,CNI,000XX,W,Polk,Street,Chicago,IL,60605,2,Transportation,41.872386434,-87.629583433,"(41.872386, -87.629583)"
04/24/2013,Accion,030XX,N,Central,Park,Chicago,IL,60618,35,Other Services,41.936721765,-87.717464528,"(41.936722, -87.717465)"
11/06/2013,WBDC,017XX,W,Lawrence,Avenue,Chicago,IL,60660,47,,41.968945848,-87.67299374,"(41.968946, -87.672994)"
11/25/2015,Accion,038XX,N,Broadway,Street,Chicago,IL,60613,46,Beauty/Salon Services,41.952667333,-87.649798106,"(41.952667, -87.649798)"
12/10/2012,Accion,015XX,N,Damen,Avenue,Chicago,IL,60622,1,Other Services,41.909679359,-87.677590211,"(41.909679, -87.67759)"
05/06/2013,Accion,011XX,W,Chicago,Avenue,Chicago,IL,60642,27,Food/Beverage,41.896342858,-87.657211671,"(41.896343, -87.657212)"
04/19/2013,WBDC,009XX,W,Van Buren,Street,Chicago,IL,60607,2,Beauty/Salon Services,41.876716551,-87.651574752,"(41.876717, -87.651575)"
05/29/2013,Accion,015XX,W,Victoria,Street,Chicago,IL,60660,48,Wholesale,41.987249381,-87.669538843,"(41.987249, -87.669539)"
06/13/2014,Accion,006XX,E,71st ,Street,Chicago,IL,60637,6,Construction/Repair,41.765935086,-87.608486389,"(41.765935, -87.608486)"
11/20/2012,Accion,018XX,W,63rd,Street,Chicago,IL,60636,15,Beauty/Salon Services,41.779466199,-87.671101769,"(41.779466, -87.671102)"
02/02/2016,Accion,031XX,N,Broadway,Avenue,Chicago,IL,60657,44,Food/Beverage,41.939120097,-87.644515275,"(41.93912, -87.644515)"
12/17/2013,Accion,008XX,S,Wabash,Avenue,Chicago,IL,60605,4,Retail Sales - Other,41.871184354,-87.62606949,"(41.871184, -87.626069)"
09/16/2014,CNI,050XX,S,State,Street,Chicago,IL,60609,3,Catering,41.802247471,-87.626043589,"(41.802247, -87.626044)"
10/07/2013,CNI,108XX,S,Langley,Street,Chicago,IL,60628,9,Transportation,41.696425687,-87.606214973,"(41.696426, -87.606215)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Construction/Repair,41.883179433,-87.651753296,"(41.883179, -87.651753)"
